수집일자,구분,본부명,지사명,저수율(%),변화율(%),평년대비(%),관심(개소),주의(개소),경계(개소),심각(개소),총개소,평년저수량(톤),현재저수량(톤),부족저수량(톤),총유역면적(m²),필요강수량(mm),3일예상강수량(mm),예상보충수량(톤),예상저수량(3일후)(톤),예상저수율(3일후)(%),예상평년대비(3일후)(%),해갈상태,예상강수량(1주)(mm),예상보충수량(1주)(톤),예상저수량(1주후)(톤),예상저수율(1주후)(%),예상평년대비(1주후)(%),해갈상태(1주)
2026-08-15,지사,경북,영천,43.1,0.2,58.8,13,4,5,10,32,15631020,9056975,6574045,26278375,417,112,1765906.8,10822881.8,51.5,69.2,부족,130,2049713.25,11106688.25,52.8,71.1,부족
2026-08-15,지사,경북,상주,47.3,-1,70,12,6,1,0,19,20341870,14236387,6105483,37631375,270,69,1557938.925,15794325.93,52.5,77.6,부족,91,2054673.075,16291060.08,54.1,80.1,부족
2026-08-15,지사,경북,문경,53,-1,73.1,5,1,0,0,6,25568940,18684229,6884711,44088875,260,61,1613652.825,20297881.83,57.5,79.4,부족,74,1957546.05,20641775.05,58.5,80.7,부족
2026-08-15,지사,경북,경산.청도,39.4,-0.3,56,17,3,7,6,33,25872220,14003948,11868272,44395938,446,102,2717031.406,16720979.41,47.1,64.6,부족,127,3382970.476,17386918.48,49,67.2,부족
2026-08-15,지사,경북,의성.군위,37,-0.5,65.2,20,1,1,8,30,17562680,11381694,6180986,38465013,268,77,1777083.601,13158777.6,42.8,74.9,부족,106,2446374.827,13828068.83,44.9,78.7,부족
2026-08-15,지사,경북,청송.영양,46.3,-0.4,73.7,9,2,4,4,19,12968820,9513628,3455192,25689500,224,90,1387233,10900861,53,84.1,부족,114,1757161.8,11270789.8,54.8,86.9,미흡
2026-08-15,지사,경북,영덕.울진,52.6,-0.7,81.5,25,1,0,2,28,17190270,13902906,3287364,33008500,166,79,1564602.9,15467508.9,58.6,90,부족,99,1960704.9,15863610.9,60.1,92.3,미흡
2026-08-15,지사,경북,고령,33.4,-1,59,1,0,0,6,7,4512440,2662252,1850188,9966250,309,114,681691.5,3343943.5,41.9,74.1,부족,142,849124.5,3511376.5,44,77.8,부족
2026-08-15,지사,경북,성주,36.6,-1.1,56.1,3,2,1,0,6,24253650,13298050,10955600,45454875,402,100,2727292.5,16025342.5,44.1,66.1,부족,145,3954574.125,17252624.13,47.4,71.1,부족
2026-08-15,지사,경북,칠곡,37.6,-0.6,45.7,7,4,1,5,17,8803970,3819408,4984562,12695325,654,104,792188.28,4611596.28,45.4,52.4,부족,136,1035938.52,4855346.52,47.8,55.1,부족
2026-08-15,지사,경북,예천,64.5,-0.8,94.1,9,1,0,0,10,5819190,5465480,353710,10593488,56,66,419502.1248,5884982.125,69.4,101.1,해소,77,489419.1456,5954899.146,70.3,102.3,해소
2026-08-15,지사,경북,달성,44.4,-1.3,62.7,7,1,1,1,10,15212600,9482832,5729768,26670750,358,107,1712262.15,11195094.15,52.5,73.6,부족,127,2032311.15,11515143.15,54,75.7,부족
2026-08-15,본부,경남,-,31.1,-0.7,44,63,43,60,152,318,0,0,0,0,0,106,25122711.07,108212567.1,40.5,55.6,-,140,32153767.1,115243623.1,43.2,59.3,-
2026-08-15,지사,경남,김해.양산.부산,29.4,-0.1,47.2,1,0,3,1,5,2037840,934377,1103463,3966125,464,74,176095.95,1110472.95,35,54.5,부족,104,247486.2,1181863.2,37.2,58,부족
2026-08-15,지사,경남,고성.통영.거제,37.2,-0.3,47.8,8,3,6,14,31,17103980,7989149,9114831,26842625,566,184,2963425.8,10952574.8,51,64,부족,222,3575437.65,11564586.65,53.9,67.6,부족
2026-08-15,지사,경남,울산,31.7,-1.2,40.5,4,7,3,17,31,11684570,4371927,7312643,17244413,707,97,1003624.837,5375551.837,39,46,부족,117,1210557.793,5582484.793,40.5,47.8,부족
2026-08-15,지사,경남,진주.산청,30.2,0,41.2,13,9,9,26,57,28303210,11642305,16660905,48246613,576,99,2865848.812,14508153.81,37.6,51.3,부족,134,3879027.685,15521332.69,40.2,54.8,부족
2026-08-15,지사,경남,의령,26.3,-0.4,37,2,1,5,11,19,11497320,4251119,7246201,20241250,597,92,1117317,5368436,33.2,46.7,부족,131,1590962.25,5842081.25,36.1,50.8,부족
2026-08-15,지사,경남,함안,24.9,-0.2,37.7,1,1,2,6,10,4032830,1500258,2532572,7526750,561,81,365800.05,1866058.05,31,46.3,부족,118,532893.9,2033151.9,33.8,50.4,부족
2026-08-15,지사,경남,창녕,29.8,0,42,5,1,4,10,20,8299220,3447813,4851407,14468000,559,86,746548.8,4194361.8,36.2,50.5,부족,121,1050376.8,4498189.8,38.9,54.2,부족
2026-08-15,지사,경남,밀양,22.1,-1.2,30,3,4,1,21,29,12016140,3563209,8452931,20197625,698,61,739233.075,4302442.075,26.6,35.8,부족,92,1114908.9,4678117.9,29,38.9,부족
2026-08-15,지사,경남,창원,26.5,-0.1,39,2,1,1,9,13,12932500,3823051,9109449,18066000,840,72,780451.2,4603502.2,31.9,35.6,부족,100,1083960,4907011,34,37.9,부족
2026-08-15,지사,경남,사천,37.2,-0.8,49.8,10,2,7,7,26,15868510,7766656,8101854,26065625,518,126,1970561.25,9737217.25,46.7,61.4,부족,161,2517939.375,10284595.38,49.3,64.8,부족
2026-08-15,지사,경남,거창.함양,38.2,-0.5,59.7,6,2,8,9,25,22179010,13231000,8948010,43336000,344,94,2444150.4,15675150.4,45.2,70.7,부족,121,3146193.6,16377193.6,47.2,73.8,부족
2026-08-15,지사,경남,합천,32.4,-0.9,44.7,2,8,7,10,27,14165180,6326650,7838530,24441000,535,90,1319814,7646464,39.1,54,부족,125,1833075,8159725,41.7,57.6,부족
2026-08-15,지사,경남,하동.남해,28.2,-1.7,41.9,6,4,4,11,25,34370480,14242342,20128138,63083625,532,228,8629839.9,22872181.9,45.3,66.5,부족,274,10370947.95,24613289.95,48.8,71.6,미흡
2026-08-15,본부,제주,-,49.7,-1.3,84.9,8,0,0,2,10,0,0,0,0,0,53,151725.75,2048810.75,53.7,91.7,-,69,197529.75,2094614.75,54.9,93.7,-
2026-08-15,지사,제주,제주본부직할,49.7,-1.3,84.9,8,0,0,2,10,2234690,1897085,337605,4771250,118,53,151725.75,2048810.75,53.7,91.7,부족,69,197529.75,2094614.75,54.9,93.7,미흡
